"Forbrug af musik (år) efter køn, alder, tid og enhed"

" "," "," ","CD, vinyl eller kassettebånd","Streamer gratis, fx Youtube eller Spotify","Streamer mod betaling, fx Spotify, iTunes, YouSee eller Tidal","Podcast","Radio","På tv","Andre adgange, fx live musik","Lytter ikke til musik"
"I alt"
" ","25-34 år"
" "," ","2018",17,56,59,14,52,6,19,1
" "," ","2019",16,61,59,22,58,12,21,3
" "," ","2020",14,59,65,25,57,9,17,2


