" "," ","Aar","CD, vinyl eller kassettebånd","Streamer gratis","Streamer mod betaling","Podcast","Radio","På tv","Andre adgange","Lytter ikke til musik"
"I alt"
" ","16-24 år"
" "," ",2018,12,60,70,12,39,6,16,0
" "," ",2019,13,64,70,19,45,10,18,1
" "," ",2020,10,59,76,22,38,6,11,1


